x,USA1934.Lx,Canada.Lx,Kenya.Lx,USA1934.Fx,Brazil.Fx,Niger.Fx,Russia.Kx,Senegal.Kx
0,4.77,4.9772,4.1062,0,0,0,3021,857
5,4.726,4.9755,3.8073,0,0,0,3137,701
10,4.712,4.9744,3.7214,0,0,0,3896,564
15,4.698,4.973,3.6294,0.0811,0.0322,0.2205,5761,457
20,4.681,4.9707,3.5129,0.2384,0.0886,0.4239,5851,378
25,4.662,4.9673,3.3786,0.1969,0.1184,0.321,5352,331
30,4.637,4.9627,3.2326,0.1033,0.0907,0.2789,4999,287
35,4.604,4.9557,3.076,0.0313,0.0404,0.2028,4657,228
40,4.561,4.9433,2.9111,0.0046,0.0138,0.1223,5773,179
45,4.503,4.919,2.7369,0.0009,0.0023,0.0397,6341,135
50,0,0,0,0,0,0,0,0